# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Bicg,PASS,cpu-0x662,0.421834,0.362410,0.238899,"0.238899 0.362410 0.644194",0.199403,N/A,256,16384,0.292686,0.265984,0.255492,"0.255492 0.265984 0.356580",0.055583,N/A,UNKNOWN,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Gemm,PASS,cpu-0x662,0.160627,0.152292,0.143151,"0.143151 0.152292 0.186438",0.022816,N/A,256,1024,0.169275,0.155418,0.152937,"0.152937 0.155418 0.199469",0.026179,N/A,UNKNOWN,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Atax,PASS,cpu-0x662,0.025237,0.024990,0.024917,"0.024917 0.024990 0.025804",0.000493,N/A,256,4096,0.041216,0.026250,0.025357,"0.025357 0.026250 0.072042",0.026700,N/A,UNKNOWN,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_2DConvolution,PASS,cpu-0x662,0.013377,0.010232,0.009169,"0.009169 0.010232 0.020731",0.006391,N/A,256,4096,0.018224,0.012628,0.010564,"0.010564 0.012628 0.031479",0.011526,N/A,UNKNOWN,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Gesummv,PASS,cpu-0x662,0.044678,0.048924,0.035501,"0.035501 0.048924 0.049610",0.007955,N/A,256,16384,0.048932,0.049879,0.038324,"0.038324 0.049879 0.058592",0.010168,N/A,UNKNOWN,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Gramschmidt,PASS,cpu-0x662,10.359317,10.589779,9.462190,"9.462190 10.589779 11.025981",0.806967,N/A,256,1024,10.360543,10.592775,9.462513,"9.462513 10.592775 11.026339",0.807364,N/A,UNKNOWN,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_2mm,PASS,cpu-0x662,0.298235,0.303251,0.284663,"0.284663 0.303251 0.306792",0.011887,N/A,256,1024,0.330442,0.330732,0.326605,"0.326605 0.330732 0.333989",0.003700,N/A,UNKNOWN,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_3mm,PASS,cpu-0x662,0.527340,0.524929,0.516621,"0.516621 0.524929 0.540469",0.012105,N/A,256,1024,0.423101,0.412269,0.400426,"0.400426 0.412269 0.456607",0.029616,N/A,UNKNOWN,N/A
