# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_3DConvolution,PASS,cpu-0x662,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,2.429488,2.416185,2.296911,"2.296911 2.381937 2.416185 2.498164 2.554245",0.100369,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Gramschmidt,PASS,cpu-0x662,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,52.429464,52.073408,51.146825,"51.146825 51.223163 52.073408 52.803503 54.900422",1.538883,N/A,UNKNOWN,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_3mm,PASS,cpu-0x662,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,4.757344,4.552145,4.340130,"4.340130 4.551117 4.552145 4.634722 5.708607",0.542827,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_2mm,PASS,cpu-0x662,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,3.070334,2.834984,2.672823,"2.672823 2.795417 2.834984 2.959919 4.088527",0.578336,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Gemm,PASS,cpu-0x662,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,1.562659,1.385599,1.295645,"1.295645 1.345187 1.385599 1.511463 2.275401",0.406375,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Syrk,PASS,cpu-0x662,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.210666,0.107446,0.088909,"0.088909 0.100146 0.107446 0.108052 0.648778",0.245033,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Gesummv,PASS,cpu-0x662,N/A,N/A,N/A,N/A,N/A,N/A,256,16384,0.194327,0.191466,0.174803,"0.174803 0.182658 0.191466 0.192719 0.229991",0.021213,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_2DConvolution,PASS,cpu-0x662,N/A,N/A,N/A,N/A,N/A,N/A,256,4096,0.056469,0.051434,0.045352,"0.045352 0.049735 0.051434 0.063881 0.071942",0.011053,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Bicg,PASS,cpu-0x662,N/A,N/A,N/A,N/A,N/A,N/A,256,16384,1.791128,1.829723,1.470091,"1.470091 1.760721 1.829723 1.841915 2.053192",0.210200,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Atax,PASS,cpu-0x662,N/A,N/A,N/A,N/A,N/A,N/A,256,4096,0.142775,0.138395,0.128499,"0.128499 0.135731 0.138395 0.150429 0.160821",0.012814,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Mvt,PASS,cpu-0x662,N/A,N/A,N/A,N/A,N/A,N/A,256,16384,0.169745,0.152532,0.134274,"0.134274 0.145529 0.152532 0.156295 0.260094",0.051197,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Syr2k,PASS,cpu-0x662,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.389214,0.390825,0.357198,"0.357198 0.380092 0.390825 0.403947 0.414007",0.022037,N/A,LLVM (Intel DPC++),N/A
