# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Runtime_DAGTaskThroughput_SingleTask,PASS,cpu-0x662,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.185327,0.180214,0.139833,"0.139833 0.153681 0.166096 0.167227 0.173459 0.180214 0.182855 0.183494 0.183837 0.322572",0.050314,N/A,UNKNOWN,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Runtime_DAGTaskThroughput_BasicParallelFor,PASS,cpu-0x662,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.211684,0.187383,0.177492,"0.177492 0.182577 0.183519 0.185699 0.186553 0.187383 0.188324 0.191821 0.301180 0.332292",0.055979,N/A,UNKNOWN,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Runtime_DAGTaskThroughput_HierarchicalParallelFor,PASS,cpu-0x662,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.202550,0.186329,0.177660,"0.177660 0.178032 0.180222 0.184562 0.184941 0.186329 0.186808 0.193530 0.211151 0.342268",0.050045,N/A,UNKNOWN,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Runtime_DAGTaskThroughput_NDRangeParallelFor,PASS,cpu-0x662,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.209383,0.187018,0.179010,"0.179010 0.182354 0.184410 0.185271 0.186250 0.187018 0.187041 0.226163 0.267931 0.308386",0.044602,N/A,UNKNOWN,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Runtime_DAGTaskThroughput_SingleTask,PASS,cpu-0x662,N/A,N/A,N/A,N/A,N/A,N/A,256,2048,0.382649,0.370640,0.306138,"0.306138 0.314351 0.325457 0.363540 0.368958 0.370640 0.371041 0.378418 0.493934 0.534013",0.074487,N/A,UNKNOWN,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Runtime_DAGTaskThroughput_BasicParallelFor,PASS,cpu-0x662,N/A,N/A,N/A,N/A,N/A,N/A,256,2048,0.407607,0.372532,0.368503,"0.368503 0.370020 0.370174 0.370438 0.371349 0.372532 0.373247 0.381157 0.539919 0.558726",0.074902,N/A,UNKNOWN,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Runtime_DAGTaskThroughput_HierarchicalParallelFor,PASS,cpu-0x662,N/A,N/A,N/A,N/A,N/A,N/A,256,2048,0.397863,0.378735,0.357667,"0.357667 0.367958 0.372196 0.374737 0.378573 0.378735 0.380211 0.380817 0.476662 0.511072",0.051714,N/A,UNKNOWN,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Runtime_DAGTaskThroughput_NDRangeParallelFor,PASS,cpu-0x662,N/A,N/A,N/A,N/A,N/A,N/A,256,2048,0.394523,0.374545,0.359087,"0.359087 0.367817 0.369277 0.370604 0.371629 0.374545 0.376829 0.378552 0.479063 0.497828",0.049988,N/A,UNKNOWN,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Runtime_DAGTaskThroughput_SingleTask,PASS,cpu-0x662,N/A,N/A,N/A,N/A,N/A,N/A,256,4096,0.779762,0.769460,0.589780,"0.589780 0.728170 0.734746 0.736415 0.747579 0.769460 0.837284 0.862618 0.884986 0.906585",0.094946,N/A,UNKNOWN,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Runtime_DAGTaskThroughput_BasicParallelFor,PASS,cpu-0x662,N/A,N/A,N/A,N/A,N/A,N/A,256,4096,0.777918,0.754681,0.726387,"0.726387 0.739419 0.741058 0.741067 0.750407 0.754681 0.757139 0.850267 0.857622 0.861134",0.054868,N/A,UNKNOWN,N/A
