# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Gramschmidt,PASS,SYCL host device,51.707490,51.844267,49.955793,"49.955793 51.189857 51.844267 52.764342 52.783192",1.186293,N/A,256,1024,51.707568,51.844331,49.955920,"49.955920 51.189915 51.844331 52.764411 52.783262",1.186273,N/A,UNKNOWN,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Correlation,PASS,SYCL host device,4.707574,4.701123,4.686057,"4.686057 4.692315 4.701123 4.701477 4.756897",0.028317,N/A,256,1024,4.707650,4.701263,4.686115,"4.686115 4.692372 4.701263 4.701537 4.756962",0.028315,N/A,UNKNOWN,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Gemm,PASS,SYCL host device,0.683620,0.683957,0.681454,"0.681454 0.683834 0.683957 0.683979 0.684877",0.001280,N/A,256,1024,0.683677,0.683999,0.681567,"0.681567 0.683878 0.683999 0.684020 0.684919",0.001250,N/A,UNKNOWN,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_3DConvolution,PASS,SYCL host device,47.779774,43.237042,43.054968,"43.054968 43.202665 43.237042 44.181925 65.222270",9.760831,N/A,256,1024,47.779833,43.237087,43.055014,"43.055014 43.202714 43.237087 44.182035 65.222316",9.760825,N/A,UNKNOWN,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_Arith_fp32_512,PASS,SYCL host device,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,0.003331,0.003328,0.003313,"0.003313 0.003319 0.003328 0.003342 0.003353",0.000017,0.589600,UNKNOWN,0.001953
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Bicg,PASS,SYCL host device,0.533180,0.528390,0.526931,"0.526931 0.528107 0.528390 0.529096 0.553373",0.011316,N/A,256,16384,0.533247,0.528446,0.527048,"0.527048 0.528161 0.528446 0.529152 0.553430",0.011308,N/A,UNKNOWN,N/A
