# Benchmark name,problem-size,run-time-mean,run-time-throughput,run-time-stddev
Polybench_3DConvolution,1024,20.57988533,N/A,0.36%
# Benchmark name,problem-size,run-time-mean,run-time-throughput,run-time-stddev
Polybench_Gramschmidt,1024,50.41727566,N/A,0.65%
# Benchmark name,problem-size,run-time-mean,run-time-throughput,run-time-stddev
Polybench_3mm,1024,72.971262,N/A,0.37%
# Benchmark name,problem-size,run-time-mean,run-time-throughput,run-time-stddev
Polybench_2mm,1024,50.783567,N/A,0.24%
# Benchmark name,problem-size,run-time-mean,run-time-throughput,run-time-stddev
Polybench_Gemm,1024,0.70090066,N/A,0.51%
# Benchmark name,problem-size,run-time-mean,run-time-throughput,run-time-stddev
Polybench_Syrk,1024,3.65807933,N/A,0.37%
# Benchmark name,problem-size,run-time-mean,run-time-throughput,run-time-stddev
Polybench_Covariance,1024,19.96286666,N/A,1.57%
# Benchmark name,problem-size,run-time-mean,run-time-throughput,run-time-stddev
Polybench_Gesummv,16384,1.731663,N/A,0.23%
# Benchmark name,problem-size,run-time-mean,run-time-throughput,run-time-stddev
Polybench_2DConvolution,4096,0.28692933,N/A,0.32%
# Benchmark name,problem-size,run-time-mean,run-time-throughput,run-time-stddev
Polybench_Bicg,16384,1.715603,N/A,0.65%
# Benchmark name,problem-size,run-time-mean,run-time-throughput,run-time-stddev
Polybench_Atax,4096,0.03953933,N/A,0.35%
# Benchmark name,problem-size,run-time-mean,run-time-throughput,run-time-stddev
Polybench_Mvt,16384,24.607366,N/A,0.66%
# Benchmark name,problem-size,run-time-mean,run-time-throughput,run-time-stddev
Polybench_Correlation,1024,19.97681966,N/A,1.75%
# Benchmark name,problem-size,run-time-mean,run-time-throughput,run-time-stddev
Polybench_Syr2k,1024,7.82676166,N/A,0.16%
# Benchmark name,problem-size,run-time-mean,run-time-throughput,run-time-stddev
Polybench_fdtd2d,1024,5.34076733,N/A,0.75%
# Benchmark name,problem-size,run-time-mean,run-time-throughput,run-time-stddev
Polybench_Arith_fp32,1048576,3.37947466,0.59180796,0.01%
