# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_3DConvolution,PASS,SYCL host device,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,354.3161912,354.5147,353.794065,353.794065 353.955715 354.514700 354.648894 354.667582,0.411136,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Gramschmidt,PASS,SYCL host device,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,52.0885734,51.568799,50.964291,50.964291 51.496523 51.568799 52.826801 53.586456 ,1.080894,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_3mm,PASS,SYCL host device,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,71.850164,70.737615,70.178197,70.178197 70.269728 70.737615 73.448830 74.616450,2.045671,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_2mm,PASS,SYCL host device,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,63.540705,63.4379,62.501838,62.501838 62.888840 63.437900 64.366096 64.508852 ,0.885059,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Gemm,PASS,SYCL host device,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,23.548479,23.790697,22.404958,22.404958 23.786861 23.790697 23.822901 23.936978,0.64214,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Syrk,PASS,SYCL host device,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,2.25933,2.258424,2.253372,2.253372 2.255101 2.255385 2.255434 2.255896 2.258424 2.258453 2.259031 2.263844 2.278363,0.007305,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Gesummv,PASS,SYCL host device,N/A,N/A,N/A,N/A,N/A,N/A,256,16384,1.755294,1.755473,1.753693,1.753693 1.754647 1.754660 1.754662 1.755009 1.755473 1.755635 1.756017 1.756344 1.756798,0.000937,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_2DConvolution,PASS,SYCL host device,N/A,N/A,N/A,N/A,N/A,N/A,256,4096,4.067188,4.021102,3.995141,3.995141 3.999377 3.999993 4.013902 4.017056 4.021102 4.068222 4.072656 4.117023 4.367406,0.112756,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Bicg,PASS,SYCL host device,N/A,N/A,N/A,N/A,N/A,N/A,256,16384,24.950457,24.853964,24.369888,24.369888 24.516465 24.645093 24.668724 24.805719 24.853964 25.128933 25.381921 25.500525 25.633337,0.436553,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Atax,PASS,SYCL host device,N/A,N/A,N/A,N/A,N/A,N/A,256,4096,1.566756,1.419388,1.414283,1.414283 1.414821 1.415157 1.415728 1.418905 1.419388 1.419752 1.436937 2.013264 2.299324,0.318013,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Mvt,PASS,SYCL host device,N/A,N/A,N/A,N/A,N/A,N/A,256,16384,1.029823,1.030594,1.0266,1.026600 1.026638 1.027104 1.029924 1.030394 1.030594 1.030780 1.031099 1.032198 1.032898,0.002273,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_Syr2k,PASS,SYCL host device,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,3.69491,3.735641,3.033733,3.033733 3.712823 3.727967 3.731616 3.731737 3.735641 3.743314 3.755755 3.830024 3.946494,0.242791,N/A,LLVM (Intel DPC++),N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Polybench_fdtd2d,PASS,SYCL host device,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,395.285397,394.810414,394.56163,394.561630 394.810414 396.484148,1.045575,N/A,LLVM (Intel DPC++),N/A
