# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Traid_int32,PASS,SYCL host device,N/A,N/A,N/A,N/A,N/A,N/A,256,1048576,0.281424,0.284334,0.257887,0.257887 0.278117 0.281223 0.282390 0.283332 0.284334 0.284433 0.286804 0.287341 0.288381,0.008816,N/A,UNKNOWN,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Traid_int64,PASS,SYCL host device,N/A,N/A,N/A,N/A,N/A,N/A,256,1048576,0.262938,0.263742,0.259322,0.259322 0.261459 0.261928 0.262229 0.263251 0.263742 0.263770 0.264228 0.264472 0.264981,0.001713,N/A,UNKNOWN,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput(GB/s),sycl-implementation,throughput-metric
Traid_fp32,PASS,SYCL host device,N/A,N/A,N/A,N/A,N/A,N/A,256,1048576,0.280823,0.279186,0.277976,0.277976 0.278256 0.278537 0.278565 0.278775 0.279186 0.279445 0.283885 0.286670 0.286937,0.003571,0.056209,UNKNOWN,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Scale_fp32_1,PASS,SYCL host device,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,49.353001,49.542723,48.706832,48.706832 48.944894 48.985535 48.998827 49.092445 49.542723 49.725712 49.800130 49.866305 49.866605,0.449017,0.041062,UNKNOWN,2
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Scale_fp32_2,PASS,SYCL host device,N/A,N/A,N/A,N/A,N/A,N/A,256,1024,54.305754,53.948673,53.756036,53.756036 53.769891 53.837356 53.891102 53.905025 53.948673 54.204127 54.715406 54.829785 56.200135,0.768129,0.037205,UNKNOWN,2
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
