# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Pattern_SegmentedReduction_SingleTask_fp32,PASS,SYCL host device,0.000020,0.000019,0.000018,"0.000018 0.000019 0.000022",0.000002,N/A,256,16384,0.000069,0.000037,0.000035,"0.000035 0.000037 0.000133",0.000056,N/A,UNKNOWN,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Pattern_SegmentedReduction_Hierarchical_fp32,PASS,SYCL host device,0.000204,0.000195,0.000194,"0.000194 0.000195 0.000224",0.000017,N/A,256,16384,0.000238,0.000211,0.000209,"0.000209 0.000211 0.000294",0.000049,N/A,UNKNOWN,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
NBody_Hierarchical_fp32,PASS,SYCL host device,N/A,N/A,N/A,N/A,N/A,N/A,256,16384,6.346278,6.326600,6.325981,"6.325981 6.326600 6.386252",0.034620,N/A,UNKNOWN,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
NBody_SingleTask_fp32,PASS,SYCL host device,N/A,N/A,N/A,N/A,N/A,N/A,256,16384,8.426733,8.442274,8.394114,"8.394114 8.442274 8.443812",0.028259,N/A,UNKNOWN,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
ScalarProduct_NDRange_To_SingleTask_fp32,PASS,SYCL host device,0.000158,0.000147,0.000135,"0.000135 0.000147 0.000191",0.000030,N/A,256,16384,0.000297,0.000225,0.000205,"0.000205 0.000225 0.000462",0.000143,N/A,UNKNOWN,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
ScalarProduct_Hierarchical_fp32,PASS,SYCL host device,0.000230,0.000226,0.000225,"0.000225 0.000226 0.000239",0.000008,N/A,256,16384,0.000360,0.000293,0.000291,"0.000291 0.000293 0.000495",0.000117,N/A,UNKNOWN,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Pattern_Reduction_SingleTask_fp32,PASS,SYCL host device,0.000013,0.000013,0.000013,"0.000013 0.000013 0.000015",0.000001,N/A,256,4096,0.000073,0.000050,0.000048,"0.000048 0.000050 0.000121",0.000041,N/A,UNKNOWN,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
Pattern_Reduction_Hierarchical_fp32,PASS,SYCL host device,0.000075,0.000076,0.000074,"0.000074 0.000076 0.000076",0.000001,N/A,256,4096,0.000127,0.000111,0.000108,"0.000108 0.000111 0.000163",0.000031,N/A,UNKNOWN,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
LinearRegressionCoeff_fp32,PASS,SYCL host device,0.008447,0.008437,0.008400,"0.008400 0.008437 0.008505",0.000053,N/A,256,16384,0.008714,0.008643,0.008590,"0.008590 0.008643 0.008910",0.000172,N/A,UNKNOWN,N/A
# Benchmark name,Verification,device-name,kernel-time-mean,kernel-time-median,kernel-time-min,kernel-time-samples,kernel-time-stddev,kernel-time-throughput,local-size,problem-size,run-time-mean,run-time-median,run-time-min,run-time-samples,run-time-stddev,run-time-throughput,sycl-implementation,throughput-metric
MicroBench_LocalMem_fp32_4096,PASS,SYCL host device,0.210973,0.211240,0.209844,"0.209844 0.211240 0.211835",0.001022,N/A,256,16384,0.211014,0.211324,0.209863,"0.209863 0.211324 0.211856",0.001032,N/A,UNKNOWN,0.000000
